Home,Away,HGFT,AGFT
Bahrain,Uzbekistan,0,4
Bhutan,Maldives,3,4
Bolivia,Uruguay,0,2
Colombia,Peru,2,0
East Timor,Palestine,1,1
Jordan,Australia,2,0
Kuwait,South Korea,0,1
Kyrgyzstan,Tajikistan,2,2
Liberia,Guinea Bissau,1,1
Myanmar,Lebanon,0,2
North Korea,Philippines,0,0
Oman,Iran,1,1
Qatar,China,1,0
Sao Tome and Principe,Ethiopia,1,0
Saudi Arabia,United Arab Emirates,2,1
Singapore,Afghanistan,1,0
South Sudan,Mauritania,1,1
Syria,Japan,0,3
Turkmenistan,India,2,1
Venezuela,Paraguay,0,1
Vietnam,Iraq,1,1
Comoros,Lesotho,0,0
Mauritius,Kenya,2,5
Seychelles,Burundi,0,1
Tanzania,Malawi,2,0
Aruba,Saint Vincent and the Grenadines,2,1
Belize,Canada,1,1
El Salvador,Curacao,1,0
Guatemala,Antigua and Barbuda,2,0
Haiti,Grenada,3,0
Nicaragua,Jamaica,0,2
Afghanistan,Japan,0,6
Bangladesh,Jordan,0,4
Cambodia,Syria,0,6
Chinese Taipei,Vietnam,1,2
Guam,Oman,0,0
Hong Kong,Qatar,2,3
India,Iran,0,3
Laos,Kuwait,0,2
Lebanon,South Korea,0,3
Malaysia,Saudi Arabia,,
Maldives,China,0,3
Palestine,United Arab Emirates,0,0
Philippines,Uzbekistan,1,5
Tajikistan,Australia,0,3
Thailand,Iraq,2,2
Yemen,Bahrain,0,4
Antigua and Barbuda,Guatemala,1,0
Canada,Belize,3,0
Curacao,El Salvador,0,1
Jamaica,Nicaragua,2,3
Grenada,Haiti,1,3
Saint Vincent and the Grenadines,Aruba,2,0
Australia,Bangladesh,5,0
Bahrain,North Korea,0,1
China,Hong Kong,0,0
Iran,Guam,6,0
Iraq,Chinese Taipei,5,1
Japan,Cambodia,3,0
Jordan,Kyrgyzstan,0,0
Kuwait,Myanmar,9,0
Oman,Turkmenistan,3,1
Qatar,Bhutan,15,0
Saudi Arabia,East Timor,7,0
South Korea,Laos,8,0
Syria,Singapore,1,0
United Arab Emirates,Malaysia,10,0
Uzbekistan,Yemen,1,0
Canada,Dominica,4,0
El Salvador,Saint Kitts and Nevis,4,1
Bangladesh,Tajikistan,1,1
Bhutan,China,0,6
Cambodia,Afghanistan,0,1
Chinese Taipei,Thailand,0,2
East Timor,United Arab Emirates,0,1
Grenada,Puerto Rico,2,0
Guam,India,2,1
Hong Kong,Maldives,2,0
Japan,Singapore,0,0
Kyrgyzstan,Australia,1,2
Laos,Lebanon,0,2
Malaysia,Palestine,0,6
Myanmar,South Korea,0,2
North Korea,Uzbekistan,4,2
Suriname,Nicaragua,1,3
Turkmenistan,Iran,1,1
Yemen,Philippines,0,2
Barbados,Aruba,1,0
Bermuda,Guatemala,0,1
Guyana,Saint Vincent and the Grenadines,4,4
Saint Lucia,Antigua and Barbuda,1,4
Belize,Dominican Republic,3,0
Cuba,Curacao,1,1
Guatemala,Bermuda,0,0
Puerto Rico,Grenada,1,0
Dominica,Canada,0,2
Saint Kitts and Nevis,El Salvador,2,2
Antigua and Barbuda,Saint Lucia,1,3
Aruba,Barbados,0,2
Bangladesh,Kyrgyzstan,1,3
Cambodia,Singapore,0,4
Curacao,Cuba,0,0
Dominican Republic,Belize,1,2
Guam,Turkmenistan,1,0
Hong Kong,Bhutan,7,0
India,Oman,1,2
Lebanon,Kuwait,0,1
Malaysia,East Timor,1,1
Maldives,Qatar,0,1
Philippines,Bahrain,2,1
Saudi Arabia,Palestine,3,2
Tajikistan,Jordan,1,3
Yemen,North Korea,,
Saint Vincent and the Grenadines,Guyana,2,2
Nicaragua,Suriname,1,0
Thailand,Vietnam,1,0
Montserrat,Curacao,2,2
Cayman Islands,Belize,1,1
Anguilla,Nicaragua,0,3
Bermuda,Bahamas,3,0
Dominica,British Virgin Islands,0,0
Curacao,Montserrat,2,1
Belize,Cayman Islands,0,0
British Virgin Islands,Dominica,2,3
Turks and Caicos Islands,Saint Kitts and Nevis,2,6
United States Virgin Islands,Barbados,0,4
Bahamas,Bermuda,0,5
Nicaragua,Anguilla,5,0
Saint Kitts and Nevis,Turks and Caicos Islands,6,2
Pakistan,Yemen,0,0
Barbados,United States Virgin Islands,0,1
Bhutan,Sri Lanka,2,1
Brunei,Chinese Taipei,0,2
Macau,Cambodia,1,1
Mongolia,East Timor,0,1
Nepal,India,0,0
Cambodia,Macau,3,0
Chinese Taipei,Brunei,0,1
East Timor,Mongolia,4,1
India,Nepal,2,0
Sri Lanka,Bhutan,0,1
Yemen,Pakistan,3,1
Russia,Saudi Arabia,5,0
Egypt,Uruguay,0,1
Morocco,Iran,0,1
Portugal,Spain,3,3
France,Australia,2,1
Argentina,Iceland,1,1
Peru,Denmark,0,1
Croatia,Nigeria,2,0
Costa Rica,Serbia,0,1
Germany,Mexico,0,1
Brazil,Switzerland,1,1
Sweden,South Korea,1,0
Belgium,Panama,3,0
Tunisia,England,1,2
Colombia,Japan,1,2
Poland,Senegal,1,2
Russia,Egypt,3,1
Portugal,Morocco,1,0
Uruguay,Saudi Arabia,1,0
Iran,Spain,0,1
Denmark,Australia,1,1
France,Peru,1,0
Argentina,Croatia,0,3
Brazil,Costa Rica,2,0
Nigeria,Iceland,2,0
Serbia,Switzerland,1,2
Belgium,Tunisia,5,2
South Korea,Mexico,1,2
Germany,Sweden,2,1
England,Panama,6,1
Japan,Senegal,2,2
Poland,Colombia,0,3
Saudi Arabia,Egypt,2,1
Uruguay,Russia,3,0
Iran,Portugal,1,1
Spain,Morocco,2,2
Australia,Peru,0,2
Denmark,France,0,0
Iceland,Croatia,1,2
Nigeria,Argentina,1,2
Mexico,Sweden,0,3
South Korea,Germany,2,0
Serbia,Brazil,0,2
Switzerland,Costa Rica,2,2
Japan,Poland,0,1
Senegal,Colombia,0,1
England,Belgium,0,1
Panama,Tunisia,1,2
